Recall_Number,Date,Year,Trade_Name,Recalling_Firm,Recall_Class,Reason_Recall,Fault_Class,Failure_Mode,Action,Action_Category,Quantity_Full, Quantity_Short
Z-1530-2008,Aug-08-2008,2008,BD FACSDiva - BD FACSDiva Software v6.0 and 6.1 with the HP XW4400 Computer SystemModel/Catalog number 642685Software is used to simplify acquisition of flow cytometry data.,BD Biosciences,2,Values might not update in statistics views after certain functions are performed in a worksheet.,Software,Output/Calculation,The firm issued an Important Product Information notification letter on 12/21/2007.  The letter instructs users to reload data by closing and reopening an experiment before reporting results in order to determine if their statistics have been impacted.  They are asked to fill out and return a form pertaining to this problem.  BD Biosciences will release a version of BD FACSDiva software to correct this problem.  The letter also stated that BD Biosciences rep will contact the users when the new software is available.  User are asked to contact BD Customer Support Center at 1-877-232-8995 if they have any additional questions.,Software update,74 units,74
Z-0111-2009,Oct-10-2008,2008,AcusonX300 - Siemens Ultrasound; Acuson/Sonovista X300 ultrasound systems; software revisions 2.0.1 to 2.0.05; 3.0.01 and 3.0.02;  manufactured by Siemens Ultrasound,Siemens Medical Solutions USA; Inc.,2,Thermal Index cranial (TIC) is not displayed for the Neo-Head exam type with the C8-5 transducer.  This is a required display to support the alara principle when imaging cranial structure.,Software,Display/Image,"Field correction was initiated on 8/19/2008.  Under Siemens update program US020/08/S & US021/08/S Siemens service personnel make a site visit, deliver a customer safety advisory notice to the customer and correct the problem by installing the revised Software versions. After the planned field correction is performed at the customer site the Service personnel log that information through Siemens internal web or reporting tools into the Siemens field update database.",Software update,72 units,72
Z-0305-2008,Jan-09-2008,2008,Aplio XG - Toshiba Aplio XG Diagnostic Ultrasound System; Model: SSA-790A with version 1.1 software; Toshiba America Medical Systems; Inc.; Tustin; CA. 92780,Toshiba American Med Sys Inc,2,Panel Lock-up: When using dynamic image acquisition modes the panel may lock up; if the operator attempts to perform a still image capture. If the panel locks up the system will have to be rebooted to continue the examination which may cause a delay in completion of the patient examination.,Software,Device Operation,"Notification letters, Urgent Medical Device Correction, with an attached Customer Response form were sent to customers beginning on October 2, 2007. Customers were notified this action was being taken as a result of an investigation that resulted from a software issue that was found by the manufacturer. Customers were informed that a Toshiba Customer Service Engineer would contact them to schedule a software upgrade when the software becomes available. If customers have any questions they were instructed to contact their or call (800) 421-1968 and ask for the Regulatory Affairs Department.--A short term instruction included ""Avoid using the Freeze Key when performing dynamic image acquisitions"".",Software update,69,69
Z-1155-2008,Jun-12-2008,2008,GE LOGIQ 3 Expert - GE LOGIQ 3 Expert ultrasound scanner with software versions 4.0.5; 4.1.1 and 4.1.2.   GE Healthcare P.O. Box 414; Milwaukee; Wisconsin  53201,GE Healthcare Clinical Systems,2,Inaccurate guidelines: The BE9C is an optional; small radius Bi-planar convex probe intended for use with the LOGIQ 3 Expert system in Urology application.  An attempt by the user to activate the biopsy guidelines while this probe is in use will cause incorrect guidelines to be displayed on the image.   The incorrect guidelines are recognized by their orientation that is left/right reversed from t,Software,Display/Image,"GE sent consignees a ""GE Urgent Medical Device Correction"" letter dated 8/14/07.  The letter informed the customers about the problem, offer a short-term workaround and informed them that a representative will schedule a visit to upgrade the software.",Software update,62,62
Z-0554-2008,Jan-29-2008,2008,Varian RPM System version 1.7.3 - Varian Real-Time Position Management System (RPM); A Respiratory Gating System; Version 1.7.3; All Models; Varian Medical Systems; Palo Alto; CA 94304,Varian Medical Systems Inc,2,Erroneously Resetting: RPM System version 1.7.3; software failure can occur that affects the gated radiotherapy treatment when phase-based gating is used.   RPM 1.7 erroneously resets the phase-based gating thresholds to system default during the treatment session; if the user accesses the Session options during the treatment session.  This can lead to difference between the planned and delivered,Software,Device Operation,"Varian sent an Urgent Medical Device Correction letter on September 26, 2007, to all its direct consignees, informing them that the RPM version 1.7 may reset the phase thresholds if Sessions options are accessed during treatment.  A Service Representative will be scheduling a visit to user site to perform the modification requested to address the problem, when a corrected software version is available.",Software update,59 units,59
Z-0102-2009,Oct-15-2008,2008,Syngo Imagaing - Syngo Imaging with versions VB20B; VB20D; VB20F; VB20G; VB25B; VB30A; VB30A_SP1; and VB30A_SP2.,Siemens Medical Solutions USA; Inc,2,Image may not be visible after merge.,Software,Display/Image,"The recalling firm issued Customer Safety Advisory Notice dated 8/22/08 to inform the consignees of the potential issue and provide instruction to avoid its occurrence.  To avoid potential risk of this issue, users are asked to check whether the extended HL7 messages as stated in the letter are mandatory for their RIS-PACS workflow, and disable these messages if they are not.  Siemens is preparing a modification under the UI IM086/08/S for the affected versions of syngo Imaging that will resolve the potential malfunction.  The field modification will be immediately distributed and installed by the firm's Service as soon as it is available.",Software update,59 units,59
Z-0096-2009,Oct-16-2008,2008,Coherence Therapist 2.0 - Coherence Therapist 2.0 equipped with a Coherence Therapist R2.0 or R2.1; and PRIMEVIEW 3iR2.0 or R2.1; part number 8139839Medical charged-particle radiation therapy system.,Siemens Medical Solutions USA;  Inc,2,Flat panel positioning calibration could be off by as much as 4 mm without the machine discovering detail.,Software,Treatment/Delivery/Therapy,"Service calibration inspection/correction Update instructions TH038/07/S was issued on 11/06/2007 to all customers.  The instructions identified the affected products, stated the reason for the update, and listed the steps to update the software.  Customer notification was also issued.  Software patch planned for release in June 2008.",Software update,59 units,59
Z-0100-2009,Oct-10-2008,2008,Philips Telemonitoring System - M3811B Philips Telemonitoring Clinical Review Software part of Philips Telemonitoring System; M3810A; software revision identified as Build 1.1.2.11d; B.02.07.  Prescriptive medical device used to automatically collect and transmit medical information (weight; blood pressure; non-diagnostic ECG) over phone lines between provider and patient.,Philips Medical Systems,2,Multiprint report may contain incorrect vital data for patients,Software,Output/Calculation,"Philips contacted customers by sending an Urgent Medical Device Correction Notification on 9/11/08. Letters to customers sent via certified mail and receipt of delivery will be tracked.

Customers are asked to follow the Action To Be Taken By Customer/User section of the Urgent Medical Device Correction Notification. This section instructs users to allow the upgrade of the software upon logging in to the system.  Contact Philips at 1-866-246-7316 for assistance.",Software update,52  units,52
Z-0202-2009,Oct-27-2008,2008,Oxylog 3000 - Oxylog 3000 Emergency and Transport Ventilator Continuous Respirator with software version 1.10 pre-installed; Catalog number 2M86300.,Draeger Medical; Inc.,2,May experience an interruption of ventilation for approximately 5 seconds,Software,Treatment/Delivery/Therapy,"The firm issued an Urgent - Medical Device Recall letter dated September 2008.  Software version 1.10 may under specific conditions experience an interruption of ventilation for approximately 5 seconds. During that time period, the patient airway pressure may drop to zero. This phenomenon was identified by Draeger engineers and to date has not been reported by any user. The firm's investigations revealed that when ventilating in BIPAP mode with the pressure rise time (Ramp) set to the highest setting and the expiration time set to exactly 0.5 seconds, the inspiration phase can coincide with the internal auto zero function of the device. Under these circumstances a pressure spike will occur upon reaching Pmax +5mbar (cmH2O) which with software version 1.10 will lead to the inspiratory phase stopping. Ventilation will resume after approximately 5 seconds. The device will generate a Paw Measurement INOP alarm. Until the new software is available, customers are being instructed to avoid the use of the following combination of settings: 1) BIPAP mode; 2) Ramp = highest, and 3) Texp = 0.5 seconds.",Software update,50 units,50
Z-1038-2008,Apr-29-2008,2008,Leonardo Workstation - Leonardo Workstation Picture Archiving and Communication System; Model Number: 7129534; Software Version: VB30B; Siemens Medical Solutions; Inc.; Malvern; PA 19355,Siemens Medical Solutions USA; Inc,2,Incorrect display:   The orientation labels will be incorrectly displayed on the reconstructed InSpace 3-D image if the orientation was not originally HFS on the acquisition system.,Software,Display/Image,Siemens Medical Solutions issued a Customer Safety Advisory Notice dated 12/21/07 to its customers to inform them of the problem and instructions to avoid the problem until the firm's representative is available to upgrade the software.,Software update,47 Units,47
Z-1241-2008,Jun-27-2008,2008,Agfa HeartLab Cardiovascular DICOMstore - Agfa HeartLab Cardiovascular DICOMstore Version 2.04.40.00 software;          Heartlab; Inc.; Westerly; Rhode Island 02891.   The software is used in the Agfa HeartLab Cardiovascular System.,AGFA Corp.,2,MIsidentification: The electrocardiogram (ECG) data of one patient is misidentified as the data of another patient.,Software,Output/Calculation,"On 6/21-26/2007, AGFA Healthcare notified, via telephone, the affected consignees of the situation.  On 7/2/2007, affected consignees were sent, via registered mail, an ""Urgent Medical Device Correction"" letter instructing them to: a) remove the affected software DICOMstore 2.04.40.00 and replace it with the prior software version, DICOMstore 2.04.34.02; and b) review patient ECG reports to determine if any patients were actually affected and to notify the firm.  AGFA Healthcare also provided a customer service contact number (877) 777-2432.",Software update,43 units,43
Z-2160-2008,Aug-25-2008,2008,General X-Ray System types with Digital Spot Imaging (DSI) - General X-Ray System types with Digital Spot Imaging (DSI) software,Philips Medical Systems North America Co.   Phillips,2,X-ray images may be stored in the wrong patient file or corrupted; images from two different patients may be combined in one patient's folder or may be combined on one image (corrupted).,Software,Output/Calculation,"On 5/20/08 the firm issued an URGENT - DEVICE CORRECTION letter to the consignees advising of the problem, requesting consignees to check the stored or printed images to ensure that it represents the data and images captured from the examination.  The firm will issue a Field Change Order to their service representatives providing new software, when software is available.  This should be issued by the end of June.",Update software,41 units,41
Z-1515-2008,Aug-16-2008,2008,MOSAIQ versions 1.3 and 1.4 SEQUENCER - SEQUENCER; MOSAIQ versions 1.3 and 1.4 with Elekta and Siemens Machines; Model number 40003-001000-RO; Manufactured by IMPAC Medical Systems; Sunnyvale; CA.Used to facilitate the delivery of defined radiotherapy treatment plans.,Impac Medical Systems Inc,2,Software issue may result in change to intended treatment field; potentially resulting in mistreatment.,Software,Treatment/Delivery/Therapy,"Firm issued field advisory to its consignees on 02/14/2008.  Phone calls will also be made to affected customers to ensure reception and understanding of the field notification.  Firm advises users with affected  product to review the jaw positions of IMRT fields to ensure that they match the RT Plan after an Apply Limits or Machine Change occurs, until software at their site can be updated to the corrected version.  A software patch is under construction.",Software update,36 units,36
Z-1615-2008,Aug-24-2008,2008,TomoTherapy Hi-Art System - TomoTherapy Hi-Art System with software versions 3.0 and 3.1  - Radiation Therapy System.  The device is intended to be used as an integrated system for the planning and delivery of intensity modulated radiation therapy.,TomoTherapy Incorporated,2,"In certain cases of HI-ART Systems operating with 3.0 or 3.1 SW; the registration adjustment field numbers may appear as nonsense characters or values on printed pages of the Register Tab.  These values may appear differently than those shown on the Operator Station (OS) display. For example; the number ""8"" may appear as the number ""0"" on the printed page.During the registration process; the H",Software,Display/Image,"Consignees were sent a  letter  ""TomoTherapy Incorporated Urgent Medical Device Correction Field Safety Notice"" dated February 22,2008.  The letter described the Issue, Product Affected, Cause, Recommended Customer Action and Resolution.



If you have not received this letter or have questions, contact the firm as outlined below:



North America: 1 866 368 4807

Belgium: 0800 38783

France: 0805 631 565

Germany: 0800 000 7541

Italy: 800 986 399

Netherlands: 0800 0201364

Spain: 800 300049

Switzerland: 0800 001927

United Kingdom: 0808 238 6035

China/CNC (Northern): 10 800 712 1701

China (Southern): 10 800 120 1701

Hong Kong: 800 967912

Japan: 0044 22 132374

Singapore: 800 1204 683

South Korea: 0079 81 4800 7204

All other locations: +1 608 824 2900 or +32 2 400 44 44.",Instructions,32,32
Z-0118-2009,Oct-28-2008,2008,iSite PACS software versions 3.6.28.x and 4.1.x. - iSite PACS (Picture Archiving and Communication System); software versions 3.6.28.x and 4.1.x.The product is an image management system (software package) used with general purpose computing hardware to acquire; store; distribute; process and display images and associated data throughout a clinical environment.  Device is intended for use by trained professionals.,Philips Healthcare Informatics; Inc.,2,Two defects have been identified:  1) potential to display a patient on the canvas page that is different from the patient whose images are displayed on diagnostic monitors when using Conference Presentation States and when opening two or more studies from a folder or an exam worklist and 2) potential to miscalculate measurements when Pixel Spacing and Imager Pixel Spacing DICOM tag values are bot,Software,Output/Calculation,"A notification letter (Urgent Product Correction) dated 8/29/08 was sent via certified mail to all customers alerting them of the issue, requiring posting of notification.  Philips Healthcare Informatics, Inc. strongly recommend all customers advise their iSite Radiology users not to open multiple patient exams simultaneously from a folder or worklist using Conference Presentation States.  



A software correction is being worked on, and should be available by end of Q3 2008 for version 4.1.45.2.  A mandatory upgrade is required for all customers who are currently using iSite version 4.1.45.2 and former versions. 



For specific questions regarding these issues, contact the Customer Advocate (CARE) or Customer Care at Philips Healthcare Informatics, Inc. at 1-877-328-2808.  In your communication with Customer Care at Philips Healthcare Informatics, Inc. , please refer to this notification and associated FCO 22945704-08292008-004.",Software update,27 units.,27
Z-2146-2008,Sep-26-2008,2008,GE Stenographe - GE  Stereotaxy Positioner; model 2405544-2; for use with Senographe DS Full Field Mammography system; models 2383168; 2383168-2; 2383168-3; 2383168-3-1; 2383168-4-1.  The expected use of the Senographe DS Stereotaxy is an optional accessory for the Senographe system for mammography examinations.,GE Healthcare,2,GE Healthcare has recently become aware of x-ray emission beyond the edge of the detector primary barrier.  This issue occurs when an exam is performed in a specific angulated view associated with use of the Stereotactic Positioner of your Senographe DS Acquisition system and could impact patient safety.   If  the Stereotactic Positioner is removed when the examination arm is at 33 degrees and; th,Software,Physical Safety Hazards,"A Product Safety Notification letter, dated March 3, 2008, was sent to affected customers.  The letter provided information about the safety issue, identified affected product and stated that GE Healthcare will provide a software upgrade.

Contact GE Healthcare at 1-262-544-3894 for assistance.",Software update,27,27
Z-0527-2008,Jan-26-2008,2008,RenalSoft - Baxter RenalSoft v.2.0 Patient Management Software Suite  - HD Module; clinical data management software; Baxter Healthcare Corporation; McGaw Park; Illinois 60085,Baxter Healthcare Renal Div,2,"Pre-Treatment/Post-Treatment Report errors: 1) The Heparin Bolus Value is displayed on Pre and Post Treatment Reports for patients with ""No Heparin"" orders (RenalSoft v2.0; Renal Software Suite v.3.0 and v.3.1); and 2) Withheld Medications are incorrectly displayed as Administered on the Pre-Treatment report (RenalSoft v.2.0 only).",Software,Display/Image,"Baxter Healthcare Corporation sent an Urgent Device Correction letter, dated 11/14/07, to all of the affected customers, informing them of the Heparin Bolus and the Withheld Medication issues and provided them with interim mitigation instructions that they should implement while waiting for a software correction. A Baxter representative will contact the customer to schedule the software update when the upgraded software is released.  Customers were requested to complete and return the enclosed Customer Reply Form, indicating that they have disseminated the information to their staff, and indicating if they still have RenalSoft software and require an upgrade.  Any questions were directed to Baxter Global Technical Services at 1-800-553-6898, option 4.



A follow-up letter dated 3/6/08 was sent to the consignees on the same date, informing them that the upgraded RenalSoft Software v.2.0.1 was now available for installation.  The consignees were requested to complete and fax back the customer reply form indicating that they received the letter, and were informed that they would be contacted by a Baxter representative to schedule an installation of the software upgrade at no charge.",Software update,25 units,25
Z-1374-2008,Sep-16-2008,2008,OmniDiagnost Eleva - Philips OmniDiagnost Eleva X-Ray System is a diagnostic imaging device intended for radiographic; fluoroscopic; angiographic; and interventional applications.,Philips Medical Systems North America Co.   Phillips,2,Unexpected movement of the X-ray table may occur. These movements may lead to patient injury; e.g.; an uncontrolled tilt may cause the patient to slip off.,Software,Physical Safety Hazards,"On 3/22/08, the firm mailed letters to their customers via certified mail.  The letter informed the customers of the recall, advising the customers to, ""Use the emergency stop button or release the initiated movement command to halt undesired table movement. If you perform digital and conventional acquisition, you can avoid the problem by closing the single examinations daily or by clearing the patient database regularly.""   The letter further informed the customers that a Philips representative will be installing updated software at a future date.



Contact Sarah Baxter at 425-487-7665 or Philips Call Center at 800-722-9377, #5, #2 if you have questions.",Software update,22 units,22
Z-0551-2008,Jan-25-2008,2008,ACCELERATOR Device Manager (ADM) - Abbott; ACCELERATOR Device Manager (ADM); List Number: 08H74-01; Abbott Laboratories; Abbott Park; IL,Abbott Laboratories; Inc,2,Sample/Patient Mis-identification: Two issues identified related to the ACCELERATOR Decision Manager (ADM); to include: 1) Sample Identification (SID) and/or Patient Identification (PID) numbers that contain more than 12 characters are truncated to the final 12 characters by the ADM; 2) for SIDs using alpha characters that are case sensitive; SIDs with lower case characters are transmitted by the,Software,Output/Calculation,"Firm notified consignees via Product Correction, Immediate Action Required letter(s) on 10/25/07.  Consignees were notified of software issues and informed they would be contacted by an Abbott representative to schedule installation of software upgrade.",Software update,19 units.,19
Z-0676-2008,Feb-08-2008,2008,Precedence SPECT/CT System - Philips Medical Systems -- Cardiac Viewer or Pulmonary Viewer software application version 2.0 in use with Precedence SPECT/CT System and all CT EBW workstations using software version 3.5.  Philips Nuclear Medicine; Milpitas; CA  95035,Phillips Nuclear Medicine,2,Incorrect Measurement: The firm discovered a software defect in Cardiac and Pulmonary Viewer software application options used in the Precedence CT Sub-System.  The defect causes incorrect measurements in derived images which are zoomed and saved in a batch file.,Software,Output/Calculation,"A Customer Advisory Notification was mailed to affected consignees on September 28, 2007. The firm informed consignees that incorrect measurement can occur when the Cardiac Viewer or Pulmonary Viewer is used to zoom and save derived images in batch files.  The firm provided instructions for operators to prevent incorrect measurements.  Phillips is currently investigating methods to correct this issue and will provide updates, free of charge, when they become available.  If you have questions concerning this recall, please contact Phillips Medical at 1-800-722-9377, (option5: Diagnostic Imaging, option 5:NM).",Software update,19,19
Z-0731-2008,Feb-23-2008,2008,Kodak DirectView  DR 3000 System - Kodak DirectView Model DR 3000 System; Stationary X-ray System; Catalog #s 6551360; 6551386; 6552152; 6552160; 6551345; 6552319; 6552335. The units are labeled under the following firms: EASTMAN KODAK  COMPANY (now known as Carestream Heath Inc.) Rochester; NY 14608; or CARESTREAM HEALTH; INC.; Rochester; NY 14608.,Carestream Health; Inc.,2,Unintended Positioner Movement - The U-Arm Positioner starts to move 1) without command from the operator and/or 2) can unexpectedly start movement if the system is powered down and re-energized after a collision has occurred with the Quantum Table.,Software,Physical Safety Hazards,"On 12/21/07, Service Bulletins (dated December 2007) were sent to consignees informing them of design modification, and providing modification instructions. The firm followed up with telephone calls to the direct user sites to schedule appointments to visit each site, in order to make the necessary modifications. The firm will be installing Safety Adaptation Board and software into all the affected DR3000 systems.",Software update,Domestic - 19 units,19
Z-0520-2008,Jan-31-2008,2008,Vital Images ViTAL Connect - Vital Images ViTALConnect ; Version 4.0 and 4.1; PET/CT Visualization option.  Vital Images; Inc.; 5850 Opus Parkway; Suite 300; Minnetonka; MN  55343. ( A web-based medical diagnostic tool that allows physicians to use PCs or notebook computers to gain remote access to 2D; 3D; and 4D advanced visualization.  The software enables users to measure; rotate; and analyze images),Vital Images; Inc.,2,Standard Uptake Values (SUV) display/update problems; in the way Standard Uptake Values (SUV) are displayed in 3D/MPR views.  The problem arises when a user draws a selected region of interest in order to calculate the SUV statistics of the region.  If the user then changes the slice shown by scrolling through additional slices; the original SUV measurements will remain on the screen and do not up,Software,Display/Image,Customers were notified via telephone (11/7 -11/8/2007) and issued an Urgent Medical Device recall notification letter on 11/8/07. The letter described the problem and product involved. The letter also informed customers they they will provide a free software patch within the next 6-8 weeks.,Software Patch,18,18
Z-1751-2008,Sep-29-2008,2008,Siemens syngo Dynamics - Siemens Medical Solutions; syngo Dynamics 6.0 Workplace; Picture archiving and communication system,Siemens Medical Solutions; USA; Inc,2,Incorrect data:  A software bug may result in a transfer of patient demographic data to a different patient's file.,Software,Output/Calculation,"Siemens issued a customer safety advisory to users on 2/8/08 advising them of the problem and instructing them to complete and verify that the report is locked before opening and reporting on a second patient, and that a software patch will be available Spring 2008.",Software update,18,18
Z-0164-2009,Oct-22-2008,2008,Varian RV Software - Varian RV SoftwareVarian Treatment for Non-Varian Linacs Version 6.6.5042 and 6.6.5043;Model Number: H46; Product is manufactured and distributed by Varian Medical Systems Inc.; Palo Alto; CADesigned to assist the operator of a radiation therapy device in providing accurate treatment setups for each patient by monitoring set up parameters and preventing the radiation therapy from commencing irradiation while any parameter is out of conformance with the treatment plan.,Varian Medical Systems Oncology Systems,2,A malfunction within the Varis software might result in a misadministration (underdose).  The software does not correctly interpret the number; causing field parameters having decimal values to be incorrect.,Software,Treatment/Delivery/Therapy,"Recall initiated on June 2, 2008.  A product notification letter was distributed by certified mail to all affected consignees.",Notification,18,18
Z-1138-2008,May-20-2008,2008,syngo US Workplace - syngo US Workplace Picture Archiving and Communication System;  software version 2.0; Siemens Medical Solutions; Inc.; Mountain View; CA 94043,Siemens Medical Solutions USA; Inc.,2,Inaccurate results:  A software bug may cause inaccurate wall motion abnormality scoring results to be displayed.,Software,Output/Calculation,"Siemens Medical Solutions sent an Urgent Medical Device Notification letter, dated November 2007, to its consignees.  The letter described action required by users, and that Siemens will contact the user with a new software version correcting this error.   A field correction to update software is planned to be underway, designated to start on 12/21/2007, and the correction is expected to be completed within 45 days.",Software update,17 units,17
Z-1460-2008,Jul-30-2008,2008,Acuity with Conebeam Computed Tomography - Acuity with Conebeam Computed Tomography; Radiation therapy simulation system; Model Number: H77.,Varian Medical Systems Oncology Systems,2,Incorrect Image Orientation: The image orientation tag may not be set correctly if the patient has been scanned with an orientation other than Head First Spine.  When such images are imported to a treatment planning system; they may appear with either a mirrored or a rotated view.,Software,Display/Image,"Consignees were notified by an Urgent Medical Device Correction letter issued on 02/05/2008.  The letter provided recommended actions for users to follow in order to avoid the software error.  The letter informed users that a service pack is being created to correct the issue and that the recalling firm will notify users when it becomes available.  For additional information, contact 888-827-4265.",Software update,16 UNITS,16
Z-0116-2009,Oct-20-2008,2008,Artiste MV system - Artiste MV system; Part number 8139789; medical linear accelerator equipped with COHERENCE therapist RTT4.1.  Medical Linear accelerator for radiation therapy. The device utilizes a console system for selecting various treatment sequences and manages commands for all motorized movement.,Siemens Medical Solutions USA;  Inc,2,Three issues:  unexpected rotation of gantry; unexpected movement of table between beams during patient setup; and single exposure images will be overwritten by double exposure images.,Software,Physical Safety Hazards,"A letter marked ""Urgent"" dated July 4, 2008 was sent to customers.  The letter provided a detailed description of the issues, the conditions under which these issues may occur, as well as recommendations to avoid these issues. Customer notification TH022/08/S was released on July 11, 2008.  A software fix is currently being validated.  All consignees notified by certified mail.  Contact Siemens Medical Solutions USA, Inc. at 1-925-246-8407 for assistance.",Software update,16,16
Z-2235-2008,Sep-17-2008,2008,NeuViz - NeuViz Dual series computed Tomography Scanner System; X-Ray SystemThe CT scanner is a whole body x-ray computed tomography scanner which features a continuously rotating tube-detector system and functions according to the fan beam principle.,Philips And Neusoft Medical Systems Co.; Ltd.,2,Labeling of patient position on scanned image does not match actual patient orientation.,Software,Display/Image,"On 12/17/08 the distributor sent a letter dated 12/13/07 to their customers explaining the problem and under what circumstances it can occur, the actions that should be taken by the customer/user in order to prevent risks for patients or users, and that the customer/user will be contacted for scheduling of a software upgrade by the distributor.  Contact NEUISYS Service Support Department at 1-877-299-9052 for assistance.",Software update,15 units,15
Z-0449-2009,Dec-29-2008,2008,Hologic - Hologic; Inc.; 10 Year Fracture Risk Questionnaire Option for QDR X-Ray Bone Densitometers Software,Hologic; Inc.,2,Software error may lead to a high estimate of major fracture probability.,Software,Output/Calculation,"Hologic notified customers by telephone on 9/23 and 24/08  and instructed them to not use the software. A customer notification letter was sent via FedEx to customers on September 25, 2008.The letter requested de-installation of the software and return of the software to Hologic in a pre-paid envelope.",Deinstall and return,15 software discs,15
Z-1224-2008,Jun-25-2008,2008,INTELECT VET - INTELECT VET; Model No. 2843; Chattanooga Group; Hixson; TN  37343; Made in the USA,Chattanooga Corp Inc,2,Devices have the potential to electric shock and burn,Software,Physical Safety Hazards,"Beginning on 12/17/2007, Chattanooga Corp. sent two recall notification letters, via UPS mail, to its consignees informing them of the situation.  The letters stated that the recall was to the user level and requested that the user perform the software upgrade, which will eliminate the possibility of shock and burn.",Software update,15 units,15
Z-1811-2008,Sep-17-2008,2008,Intuitive Surgical - INTUITIVE SURGICAL DA VINCI SURGICAL SYSTEM; MODE; S Cardiac Probe Gasper Instrument; Model IS2000; Part Number 420215-02; Product is manufactured and distributed by Intuitive Surgical; Inc. Sunnyvale; CA .  The IS2000 CPG is used during cardiac ablation procedures.,Intuitive Surgical; Inc.,2,The product has a software interface problem.  When the product is connected to the da Vinci IS2000 System it will not allow the System to recognize the Instrument which makes the IS2000 CPG instrument nonfunctional at all sites.  Risks associated are loss of operability of the instrument; delay in surgery; and loss of dexterity.,Software,Device Operation,"On April 18, 2008 an Urgent Device Recall letter was issued to customers.  Consignees were notified via e-mail and were instructed to return the product.  Customers were instructed to segregate the product in a secure area for Intuitive Surgical CSRs.  If you have any questions contact Karen Uyesugi at (408) 523-2100.",Remove,11,11
Z-0866-2008,Aug-13-2008,2008,Roche/Hitachi Modular D2400 Module GMMI clinical chemistry analyzer - Roche/Hitachi Modular Analytics System; Modular D2400 Module GMMI clinical chemistry analyzer; Catalog number 04998618001.Intended for qualitative and quantitative in vitro determinations using a wide variety of tests.Roche Diagnostics Corporation; 9115 Hague Road; Indianapolis; IN; 46250,Roche Diagnostics Corp.,2,Possible mismatch between patient and result.,Software,Output/Calculation,"Consignees were notified via Urgent Medical Device Correction letter dated 3/21/08, which instructed them to not manually order QC test selections while the system is in operation mode and that they can only manually order QC when the system is in Stand-by mode.  Consignees are instructed to consult with their physicians or pathologist to determine specific clinical implications for their patients.  The firm states that this issue will be resolved in the next version of software.",Software update,11 of all models,11
Z-2006-2008,Sep-17-2008,2008,"Boston Scientific iReview Software - iReview"" Software (Accessory To) iLab Ultrasound Imaging System; Model Number: H74900018010; Catalog Number: 1801; Product is manufactured and distributed by Boston Scientific Corporation; Fremont; CA   The iReview"" Software is provided on CD and is a computer application designed for reviewing cases recorded with firm's iLab ""System; and for exporting stills or videos of those runs.",Boston Scientific Corporation,2,"The firm initiated a recall of a specific iReview"" Software; Ver 1.0 Kit; which was released for distribution in a non-validated format.",Software,N/A,"Customer notifications sent on May 2, 2008 indicating the need for field correction and included a replacement version of the software kit.  For customer assistance, contact Boston Scientific at 1-508-652-5594.",Software update,10 kits,10
Z-0732-2008,Feb-23-2008,2008,Syngo Imagaing - Siemens Syngo Imaging System with VB30A version of software. Model Number: 10014063; Siemans Medical Solutions; Malvern; PA 19355,Siemens Medical Solutions USA; Inc,2,Inconsistent data - A buffer overflow may occur between information system and picture system if the system experiences a high load. (e.g. RIS/PACS communication is unusally high),Software,Output/Calculation,"The recalling firm issued a Customer Safety Advisory, via certified mail. to the affected customers on 11/27/07. The letter informs the customer of the issue and also provides instruction to detect and avoid its occurrence. In addition, the firm is developing a software update to correct the issue, which will be installed on the affected systems when it is released.",Software update,10 units,10
Z-1137-2008,May-28-2008,2008,Philips MutliDiagnost Eleva FD - MultiDiagnost Eleva Flat Detector X-Ray System; Part Number: SW 9896 001 43361; Philips Medical Systems; Bothell; WA; 98021,Philips Medical Systems North America Co.   Phillips,2,Delay in Imaging: MultiDiagnost Eleva with Flat Detector x-ray system cannot perform fluoroscopy procedures while certain image file housekeeping operations are performed.  Fluoroscopy cannot be performed and new exposures are not able to be acquired until the housekeeping operations are complete which may take several minutes.  The loss of system availability could occur during an interventional,Software,Display/Image,"On 11/29/07 Philips Medical Systems sent a letter dated 11/28/07 to customers stating that if users perform certain image file housekeeping operations, fluoroscopy cannot be performed and new exposures cannot be acquired until those operations are complete.  It also instructs that the unavailability of fluoroscopy and exposure can be avoided by not pressing the ""Delete All Images"" button until any pending Autopush operation is complete.  FCO 70800067 will be issued to service representatives to install new software.",Software update,"9 units were distributed to hospitals in the US, 6 were installed, 3 were not installed or in use.",9
Z-0313-2009,Dec-09-2008,2008,AXIOM ARTIS - MODULAR ANGIOGRAPHIC SYSTEM - AXIOM Artis System dBA using software version VB31D with 30x40 cm2 flat detectors.¿AXIOM Artis is a angiography system developed for single and biplane diagnostic imaging and interventional procedures.,Siemens Medical Solutions USA; Inc,2,System may switch to emergency fluoroscopy mode.,Software,Device Operation,A Customer Safety Advisory Letter dated 8/20/08 was issued with Update Instructions AX045/08/S. The letter informed the customer of the potential issue and provided instruction to avoid its occurrence. A software update (VB31E) was released to correct the issue.,Software update,6 units,6
